title,location,price,area,bedrooms,furniture_status
Apartment Zeeburgerkade,1019 VK Amsterdam (Oostelijk Havengebied),2100,80,3,Furnished
Apartment Afroditekade,1076 DZ Amsterdam (Stadionbuurt),1850,80,2,Furnished
Apartment Stadionweg 122 I,1077 SV Amsterdam (Apollobuurt),3000,110,3,Upholstered
Apartment Marco Polostraat,1056 DM Amsterdam (Van Galenbuurt),1900,75,3,Upholstered
Apartment Schimmelstraat,1053 TA Amsterdam (Kinkerbuurt),2850,100,3,Furnished
Apartment Bellamydwarsstraat 4 4,1053 BD Amsterdam (Kinkerbuurt),2000,50,2,Furnished
Apartment J.J. Cremerplein,1054 TK Amsterdam (Overtoomse Sluis),3700,133,4,Upholstered or furnished
Apartment John Blankensteinstraat 127 A,1095 MB Amsterdam (Zeeburgereiland/Nieuwe Diep),1600,50,2,Upholstered
Apartment Keizersgracht,1015 CV Amsterdam (Grachtengordel-West),3000,80,2,Furnished
Apartment Johannes van der Waalsstraat,1098 PG Amsterdam (Middenmeer),2950,115,5,Furnished
Apartment Nieuwpoortstraat 94 C6,1055 RZ Amsterdam (Landlust),1700,48,2,Upholstered
Apartment Veembroederhof 197,1019 HD Amsterdam (Oostelijk Havengebied),2500,110,4,Furnished
Apartment Osdorpplein,1068 TD Amsterdam (Osdorp-Oost),1750,48,2,Upholstered
Apartment Jacob Marisstraat 86 H,1058 JA Amsterdam (Hoofddorppleinbuurt),2750,95,3,Upholstered
Apartment Bloemgracht,1016 KK Amsterdam (Jordaan),3500,75,3,Furnished
Apartment Bloemgracht,1016 KK Amsterdam (Jordaan),2500,65,3,Furnished
Apartment Oostenburgervoorstraat 47,1018 MN Amsterdam (Oostelijke Eilanden/Kadijken),3500,140,4,Furnished
Apartment Prinsenstraat,1015 DA Amsterdam (Grachtengordel-West),2750,110,3,Furnished
Apartment Hillegomstraat 32 2,1058 LT Amsterdam (Hoofddorppleinbuurt),2800,85,4,Furnished
Apartment Noorderstraat,1017 TR Amsterdam (De Weteringschans),2950,90,3,Furnished
Apartment Bosboom Toussaintstraat,1054 AT Amsterdam (Helmersbuurt),4750,155,5,Furnished
Apartment Czaar Peterstraat,1018 PX Amsterdam (Oostelijke Eilanden/Kadijken),2350,90,4,Furnished
Apartment Anna Blamansingel 238,"1102 SX Amsterdam (Bijlmer Centrum (D,F,H))",1800,100,3,Upholstered or furnished
Apartment Deurloostraat 72 HS,1078 JG Amsterdam (Scheldebuurt),2600,100,4,Upholstered
Apartment Orteliusstraat 221 3,1056 NR Amsterdam (Van Galenbuurt),1850,60,2,Furnished
Apartment Ridderspoorweg,1032 LL Amsterdam (Noordelijke IJ-oevers West),1750,50,2,Upholstered or furnished
Apartment Keizersgracht,1016 GD Amsterdam (Grachtengordel-West),4500,121,3,Upholstered or furnished
Apartment Ilperveldstraat 135,1024 PL Amsterdam (Waterlandpleinbuurt),2100,100,3,Furnished
Apartment Rietlandpark,1019 DR Amsterdam (Oostelijk Havengebied),2950,120,3,Furnished
Apartment Brouwersgracht,1013 HD Amsterdam (Haarlemmerbuurt),2450,85,2,Furnished
Apartment Leidsekade,1016 CZ Amsterdam (Jordaan),2495,105,3,Furnished
Apartment Venetiëhof,1019 ND Amsterdam (Oostelijk Havengebied),1950,90,3,Furnished
House Prinsengracht,1016 JA Amsterdam (Jordaan),4750,181,6,Upholstered
Apartment Prinsengracht,1015 DV Amsterdam (Jordaan),3250,100,4,Furnished
Apartment Weesperzijde,1091 EJ Amsterdam (Weesperzijde),1850,55,2,Upholstered
House Simon Stevinstraat 33 hs,1097 BX Amsterdam (Frankendael),3250,138,5,Upholstered
Apartment Wilhelminastraat,1054 WB Amsterdam (Overtoomse Sluis),2950,106,3,Furnished
Apartment Westlandgracht,1059 TR Amsterdam (Hoofddorppleinbuurt),1995,90,3,Shell
Apartment Maasstraat,1079 BE Amsterdam (Scheldebuurt),2400,95,4,Furnished
Apartment Ladogameerhof 270,1060 RG Amsterdam (Middelveldsche Akerpolder),1700,86,3,Furnished
Apartment Kiekstraat 177,1087 GT Amsterdam (IJburg West),1900,98,3,Upholstered
Apartment Vierwindendwarsstraat 15 II,1013 LB Amsterdam (Haarlemmerbuurt),2500,85,3,Upholstered
Apartment Oudezijds Achterburgwal,1012 DE Amsterdam (Burgwallen-Oude Zijde),1695,55,3,Upholstered
Apartment President Kennedylaan,1079 ND Amsterdam (Rijnbuurt),1750,49,2,Furnished
Apartment Kleiburg 523,"1104 EA Amsterdam (Bijlmer Oost (E,G,K))",1600,68,3,Furnished
Apartment Jan Luijkenstraat,1071 CS Amsterdam (Museumkwartier),5000,236,4,Furnished
Apartment Bloemgracht,1016 KL Amsterdam (Jordaan),2400,75,3,Furnished
Apartment Vogelenzangstraat 62 I,1058 SW Amsterdam (Hoofddorppleinbuurt),1750,54,2,Upholstered or furnished
Apartment Bosboom Toussaintstraat,1054 AT Amsterdam (Helmersbuurt),4750,155,5,Furnished
Apartment Zuid-Hollandstraat 18 I,1082 EK Amsterdam (Buitenveldert-West),2150,78,4,Upholstered
Apartment Van Baerlestraat 72 D,1071 BA Amsterdam (Museumkwartier),3500,150,3,Upholstered
Apartment Minervalaan,1077 PK Amsterdam (Apollobuurt),4250,140,3,Upholstered
Apartment Daniël Stalpertstraat,1072 XB Amsterdam (Oude Pijp),2150,80,3,Furnished
Apartment Slotermeerlaan 23,1064 GZ Amsterdam (Slotermeer-Zuidwest),1750,80,4,Furnished
Apartment Cornelis Anthoniszstraat,1071 VR Amsterdam (Museumkwartier),2650,70,3,Upholstered
Apartment Keizersgracht 734 C,1017 EW Amsterdam (Grachtengordel-Zuid),3500,136,3,Upholstered
Apartment Gustav Mahlerplein 175,1082 MS Amsterdam (Zuidas),2550,87,2,Furnished
Apartment Fritz Dietrich Kahlenbergstraat,1087 LL Amsterdam (IJburg Zuid),1950,93,3,Furnished
Apartment Valeriusstraat 60 II,1071 ML Amsterdam (Museumkwartier),3950,130,5,Upholstered
Apartment Banstraat 28 3,1071 KA Amsterdam (Museumkwartier),4850,151,5,Furnished
Apartment Vossiusstraat 39 hs,1071 AH Amsterdam (Museumkwartier),7750,260,7,Upholstered
Apartment Nieuwe Leliestraat 66 H,1015 SV Amsterdam (Jordaan),2750,78,3,Upholstered or furnished
Apartment Bloemgracht,1015 TT Amsterdam (Jordaan),6000,195,6,Upholstered
Apartment Brouwersgracht 96 H,1013 GZ Amsterdam (Grachtengordel-West),3600,104,5,Furnished
Apartment Herengracht,1017 CD Amsterdam (Grachtengordel-Zuid),5650,125,3,Furnished
House Jaagpad 31,1059 BP Amsterdam (Hoofddorppleinbuurt),5000,200,6,Furnished
House Valeriusplein,1075 BJ Amsterdam (Willemspark),8000,366,6,Upholstered
Apartment Nicolaas Witsenkade,1017 ZS Amsterdam (De Weteringschans),7950,200,6,Furnished
Apartment Milovan Djilasplein,"1102 JZ Amsterdam (Bijlmer Centrum (D,F,H))",1500,79,3,Furnished
